Timestamp,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),Please select your preferred methods of communication for mentorship with a student in San Diego.,Which career development topics would you most like to discuss with a mentee?,Are you interested in providing a job shadowing experience for your mentee?,Are you interested in working together on a project with your mentee?,"In a word or two, please describe your industry","City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)","In a few sentences, please describe why you want to mentor a student.","When you give feedback, do you prefer:",Which of the following best describes you?,Which mentoring style do you prefer?,"Are there any topics, industries, or student backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentee?,First & Last Name,Email Address,Graduation Year,Data Science Program,"Job Title & Employer (If attending graduate school, please put school and program here.)",How many mentees would you like to be matched with?
7/1/2026 09:00:00,No,"Email, Instant Messaging, Virtual Meeting, Phone Conversations","Interview Preparation, How to Network, Transition to Industry, Resume Review, Relocating for a job",No,Maybe,Pharmaceuticals,"San Diego, CA 92093-1234",Explaining my work to students makes me better at my own job.,To be direct and concise,Prefer focused solo work,Setting structured goals,nothing,"Privacy, federated learning","Excel, Google Sheets, BigQuery","I think out loud, so expect some half-formed ideas","Gardening, woodworking, home repair",Prefer written communication over phone calls,,,devon.rahman0@gmail.com,2024,MDS (Online),Software Engineer at Google,One
7/1/2026 10:00:00,Maybe,"Email, Texts",Resume Review,Maybe,No,Pharmaceuticals,"Sao Paulo, Brazil",Explaining my work to students makes me better at my own job.,"Blunt is fine, do not cushion it",Prefer focused solo work,Setting structured goals,No,"Survival analysis, clinical trials","Excel, Google Sheets, BigQuery",I ask a lot of questions before offering an opinion,"Soccer, basketball, watching football",Mandarin or English both work for me,Interested in eventually starting my own company,Leila OBrien,,2023,BS Data Science Major,Analytics Manager at Petco,One
7/1/2026 16:37:00,Yes,"Instant Messaging, Texts, Phone Conversations","Graduate School Decisions, Interview Preparation, Leadership Skills, Transition to Industry",Maybe,Maybe,Investment banking,"Washington, DC",Explaining my work to students makes me better at my own job.,"Both, depending on the situation",A blend of both,Setting structured goals,,"MLOps, model deployment, monitoring","Python, scikit-learn, pandas","Formal in writing, relaxed in conversation","Learning languages, writing, journaling",,,,,2022,BS Data Science Minor,Product Analyst at Airbnb,
7/1/2026 18:41:00,Maybe,Email,"How to Network, Graduate School Decisions, Switching from academia to industry",Maybe,Maybe,Finance,"Tijuana, Baja California, Mexico",I remember how confusing the transition from coursework to industry was.,Walk me through your reasoning with a real case,Prefer focused solo work,Letting the conversation flow organically,N/A,"Data engineering, ETL pipelines","Streamlit, Plotly, Dash","Blunt, though I try to be kind about it","Learning languages, writing, journaling",,Interested in eventually starting my own company,Ilya Fitzgerald,ilya.fitzgerald3@gmail.com (personal),2026,BS Data Science Major,"Founder, early stage startup",One
7/1/2026 21:15:00,No,"Phone Conversations, Texts, Virtual Meeting, Instant Messaging",How to Network,No,Yes,Digital health,"New Orleans, LA",I want to help students avoid the mistakes I made in my first few roles.,To be more conversational with examples,Energized by collaboration,Letting the conversation flow organically,-,"Survival analysis, clinical trials","Snowflake, Sigma, Hex","Analytical, I like working through problems on a whiteboard","Photography, travel, film festivals","I stutter sometimes, please do not finish my sentences",,Bilal Fontaine,  BILAL.FONTAINE4@GMAIL.COM  ,2025,BS Data Science Minor,Data Engineer at Snowflake,One
7/2/2026 01:30:00,Yes,Virtual Meeting,"Interview Preparation, How to Network",Maybe,No,Technology,"Remote, 4 hours ahead of Pacific","Honestly, I miss teaching, and this is the closest thing to it.",Read the room and adapt,Prefer focused solo work,A blend of both,.,"Graph analytics, network science","R, tidyverse, Shiny","Warm and conversational, I like to build rapport first","Reading science fiction, board games, puzzles","Korean speaker, but English is fine for professional topics",I am considering a PhD but unsure it is the right path,Emeka Rahman,emeka.rahman5@gmail.com,2021,PhD,Quantitative Researcher at Citadel,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 04:28:00,Maybe,"Zoom, but only if it is scheduled ahead","Resume Review, Graduate School Decisions, How to Network, Leadership Skills",No,No,Media and entertainment,Currently travelling,I want to demystify what a data scientist actually does all day.,To be direct and concise,A blend of both,A blend of both,-,"Graph analytics, network science","Python, PyTorch, Docker","Direct and to the point, I say what I mean","Painting, ceramics, visiting museums","No accessibility needs, thanks for asking",,Ben Sharma,ben.sharma6@gmail.com,2022,MAS,Senior Analyst at Deloitte,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 10:38:00,Yes,"Phone Conversations, Email, In Person",Resume Review,Yes,Maybe,Insurance,,Explaining my work to students makes me better at my own job.,Show me an example of what good looks like,Prefer focused solo work,Letting the conversation flow organically,,"Survival analysis, clinical trials","Airflow, Kubernetes, Terraform",I check in often rather than waiting for a scheduled meeting,"Rock climbing, bouldering, yoga","I am hard of hearing, so video with captions works best",I am a veteran returning to school after several years,Uma Haddad,uma.haddad7@gmail.com,2021,PhD,Product Analyst at Airbnb,One
7/2/2026 14:05:00,Yes,"Texts, Instant Messaging","Leadership Skills, Graduate School Decisions, Resume Review",No,Yes,Advertising technology,"San Diego, California, USA",,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,nope,"Interpretability, model explanation","Scala, Kafka, Flink","Analytical, I like working through problems on a whiteboard","Learning languages, writing, journaling",,,Sena Okafor,sena.okafor8@gmail.com,2022,MDS (Online),Data Engineer at Snowflake,One
7/2/2026 17:05:00,No,"In Person, Virtual Meeting, Texts, Phone Conversations, Email, Instant Messaging",Interview Preparation,Yes,No,Video games,"Bangalore, India",I want to demystify what a data scientist actually does all day.,Skip the compliment sandwich please,Prefer focused solo work,A blend of both,"Nothing comes to mind really, I am open to most things.","Reinforcement learning, robotics","Vertex AI, BigQuery ML, Dataflow","Socratic, I would rather ask than tell","Soccer, basketball, watching football",,I am a veteran returning to school after several years,Fatima Fitzgerald,fatima.fitzgerald9@gmail.com,2025,MAS,Data Engineer at Snowflake,as many as you need
