Timestamp,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),Please select your preferred methods of communication for mentorship with a student in San Diego.,Which career development topics would you most like to discuss with a mentee?,Are you interested in providing a job shadowing experience for your mentee?,Are you interested in working together on a project with your mentee?,"In a word or two, please describe your industry","City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)","In a few sentences, please describe why you want to mentor a student.","When you give feedback, do you prefer:",Which of the following best describes you?,Which mentoring style do you prefer?,"Are there any topics, industries, or student backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentee?,First & Last Name,Email Address,Graduation Year,Data Science Program,"Job Title & Employer (If attending graduate school, please put school and program here.)",How many mentees would you like to be matched with?
7/1/2026 09:00:00,Yes,"Texts, Email, Phone Conversations, In Person, Virtual Meeting, Slack","Interview Preparation, Leadership Skills, Transition to Industry",Yes,Maybe,Management consulting,"Irvine, California, USA",I find it rewarding to watch someone grow into their first technical role.,"Both, depending on the situation",Energized by collaboration,A blend of both,,"Graph analytics, network science","Tableau, Power BI, Looker","Direct and to the point, I say what I mean","Learning languages, writing, journaling",,,Aditi Rahman,aditi.rahman0@gmail.com,2018,Data Science Minor,Product Analyst at Airbnb,2. Two
7/1/2026 12:22:00,No,"Instant Messaging, Email, Virtual Meeting, Texts","Graduate School Decisions, Transition to Industry, Resume Review, How to Network, Interview Preparation",Maybe,Yes,Climate and sustainability,"Toronto, Ontario, Canada",I want to help students avoid the mistakes I made in my first few roles.,To be direct and concise,A blend of both,Letting the conversation flow organically,none,"Bioinformatics, genomics","SQL, dbt, Snowflake","Analytical, I like working through problems on a whiteboard","Rock climbing, bouldering, yoga",,,Mateo Volkov,mateo.volkov1@gmail.com,2024,B.S. Mathematics-Computer Science,Research Scientist at Genentech,1. One
7/1/2026 15:48:00,Maybe,"In Person, Email, Instant Messaging, Phone Conversations, Texts","How to Network, Resume Review",No,Maybe,Agriculture technology,"Denver, Colorado, USA",I want to help students avoid the mistakes I made in my first few roles.,To be more conversational with examples,Prefer focused solo work,Setting structured goals,N/A,"Recommender systems, personalization","R, tidyverse, Shiny","Encouraging, I lead with what is going well","Running marathons, weightlifting, meal prep",I am most comfortable in Spanish and English,I am a veteran returning to school after several years,Ursula Karimi,ursula.karimi2@gmail.com,2017,B.S. Mathematics-Computer Science,Biostatistician at UCSD Health,1. One
7/1/2026 20:06:00,Yes,"In Person, Instant Messaging, Virtual Meeting, Slack","Interview Preparation, How to Network, Graduate School Decisions",Yes,No,Investment banking,"Denver, Colorado, USA",Explaining my work to students makes me better at my own job.,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,,"Fraud detection, anomaly detection","TensorFlow, Keras, JAX","Warm and conversational, I like to build rapport first","Volunteering, community organizing, tutoring",I need meetings scheduled outside of prayer times,I work night shifts so evenings are difficult,,xiulan.rossi3@gmail.com,2018,B.S. Data Science,Senior Analyst at Deloitte,1. One
7/2/2026 01:19:00,Yes,"Virtual Meeting, Email, Texts, In Person, Phone Conversations","Transition to Industry, Interview Preparation, How to Network, Resume Review, Graduate School Decisions",No,Maybe,Retail,"Sydney, Australia",I had a mentor early in my career who changed my trajectory and I want to pay that forward.,To be more conversational with examples,A blend of both,Letting the conversation flow organically,Please avoid matching me with someone in investment banking.,"Optimization, operations research","R, tidyverse, Shiny","Direct and to the point, I say what I mean","Running marathons, weightlifting, meal prep","I am hard of hearing, so video with captions works best",,Xiulan Osei,xiulan.osei4@gmail.com,2023,Data Science Minor,Quantitative Researcher at Citadel,1. One
7/2/2026 02:46:00,No,"Instant Messaging, Virtual Meeting, Email","Leadership Skills, Interview Preparation, How to Network, Graduate School Decisions",No,Yes,Healthcare,"Atlanta, Georgia, USA",I enjoy helping students figure out which parts of data science they actually like.,"Both, depending on the situation",Energized by collaboration,A blend of both,,"Time series forecasting, demand planning","Git, GitHub Actions, MLflow","Warm and conversational, I like to build rapport first","Rock climbing, bouldering, yoga",,I am changing careers and would value someone who did the same,Jonas Bauer,jonas.bauer5@gmail.com,2021,Data Science Minor,Biostatistician at UCSD Health,1. One
7/2/2026 03:17:00,Yes,"Phone Conversations, In Person, Texts, Email","Resume Review, Interview Preparation",No,No,Video games,"Denver, Colorado, USA","I would like to give back to HDSI, which gave me a lot.","Both, depending on the situation",Energized by collaboration,Setting structured goals,Prefer to avoid healthcare and pharmaceuticals.,"Statistical modeling, Bayesian methods","Tableau, Power BI, Looker","Candid and fast-moving, I do not sugarcoat feedback","Running marathons, weightlifting, meal prep",I am most comfortable in Spanish and English,,Aditi Volkov,aditi.volkov6@gmail.com,2020,Ph.D. Data Science,Research Scientist at Genentech,1. One
7/2/2026 07:21:00,No,"Email, Texts, Instant Messaging, In Person, Phone Conversations","How to Network, Graduate School Decisions",No,No,Technology,Prefer not to say,I had a mentor early in my career who changed my trajectory and I want to pay that forward.,To be direct and concise,A blend of both,Letting the conversation flow organically,Please avoid matching me with someone in investment banking.,"Graph analytics, network science","Hugging Face transformers, LangChain",I ask a lot of questions before offering an opinion,"Soccer, basketball, watching football",Mandarin or English both work for me,I work night shifts so evenings are difficult,Cara Ferreira,,2020,Data Science Minor,Software Engineer at Google,2. Two
7/2/2026 07:43:00,Maybe,"Texts, In Person, Phone Conversations, Instant Messaging, Email","Graduate School Decisions, Transition to Industry, How to Network, Leadership Skills, Resume Review",Maybe,Yes,Pharmaceuticals,"Atlanta, Georgia, USA",Mentoring keeps me connected to the program and to new ideas.,To be more conversational with examples,Energized by collaboration,Letting the conversation flow organically,,"Statistical modeling, Bayesian methods","Spark, Databricks, Delta Lake","Structured, I usually come with an agenda","Cooking, baking sourdough, trying new restaurants",,I am on a student visa and have questions about work authorization,Tariq Haddad,tariq.haddad8@gmail.com,2021,B.S. Data Science,Research Scientist at Genentech,2. Two
7/2/2026 08:10:00,No,"In Person, Phone Conversations","Leadership Skills, Resume Review, Transition to Industry, How to Network",No,No,E-commerce,"Boulder, Colorado (1 hour ahead of Pacific)",Mentoring keeps me connected to the program and to new ideas.,To be direct and concise,A blend of both,Setting structured goals,none,"Bioinformatics, genomics","Scala, Kafka, Flink",I prefer written follow-ups after a call,"Chess, competitive gaming, streaming",Happy to speak Hindi or English,Hoping to end up somewhere I can work on climate problems,Cara Haddad,cara.haddad9@gmail.com,2020,B.S. Data Science,Senior Analyst at Deloitte,2. Two
7/2/2026 14:18:00,Maybe,"Phone Conversations, In Person, Email, Texts","Graduate School Decisions, Transition to Industry, Interview Preparation",No,No,E-commerce,"Toronto, Ontario, Canada",I enjoy helping students figure out which parts of data science they actually like.,To be direct and concise,A blend of both,A blend of both,Please avoid matching me with someone in investment banking.,"Reinforcement learning, robotics","Airflow, Kubernetes, Terraform","Encouraging, I lead with what is going well","Running marathons, weightlifting, meal prep",,I am on a student visa and have questions about work authorization,Freya Chowdhury,freya.chowdhury10@gmail.com,2024,B.S. Mathematics-Computer Science,Research Scientist at Genentech,2. Two
7/2/2026 19:11:00,Yes,"Instant Messaging, In Person, Phone Conversations, Email, Texts","Graduate School Decisions, Interview Preparation, Leadership Skills",No,Yes,Pharmaceuticals,"Los Angeles, California, USA",I remember how confusing the transition from coursework to industry was.,To be more conversational with examples,A blend of both,Letting the conversation flow organically,,"Causal inference, experimentation","Tableau, Power BI, Looker","Structured, I usually come with an agenda","Painting, ceramics, visiting museums",,"First generation student, guidance on navigating industry would help",Cara Osei,cara.osei11@gmail.com,2018,Data Science Minor,Product Analyst at Airbnb,1. One
7/2/2026 21:49:00,Yes,"Virtual Meeting, Phone Conversations, Email, Instant Messaging","Resume Review, Transition to Industry",Maybe,Yes,Aerospace,"Salt Lake City, Utah, USA",I enjoy helping students figure out which parts of data science they actually like.,"Both, depending on the situation",Energized by collaboration,Setting structured goals,,"Optimization, operations research","Git, GitHub Actions, MLflow","Analytical, I like working through problems on a whiteboard","Cooking, baking sourdough, trying new restaurants",French and English both work,,Rafael Lindqvist,rafael.lindqvist12@gmail.com,2022,B.S. Data Science,Applied Scientist at Amazon,2. Two
7/3/2026 01:35:00,No,"Email, In Person, Instant Messaging, Texts","Graduate School Decisions, Transition to Industry, Leadership Skills, Resume Review, Interview Preparation",Maybe,Maybe,Technology,"Berlin, Germany",I enjoy helping students figure out which parts of data science they actually like.,To be direct and concise,Energized by collaboration,Letting the conversation flow organically,I would prefer not to focus on natural language processing or large language models.,"Natural language processing, large language models","Airflow, Kubernetes, Terraform","Analytical, I like working through problems on a whiteboard","Cooking, baking sourdough, trying new restaurants",,"First generation student, guidance on navigating industry would help",Hana Nakamura,hana.nakamura13@gmail.com,2023,B.S. Mathematics-Computer Science,Product Analyst at Airbnb,1. One
7/3/2026 01:57:00,No,"Email, Virtual Meeting","How to Network, Transition to Industry, Graduate School Decisions, Leadership Skills",Yes,No,Autonomous vehicles,"Sao Paulo, Brazil",I enjoy helping students figure out which parts of data science they actually like.,To be direct and concise,Prefer focused solo work,Letting the conversation flow organically,Prefer someone outside of insurance.,"Geospatial analysis, remote sensing","Spark, Databricks, Delta Lake","Patient and detailed, I explain my reasoning","Hiking, trail running, camping",,Would prefer someone who has been through a layoff,Ines Zhang,ines.zhang14@gmail.com,2016,M.S. Data Science,Software Engineer at Google,2. Two
7/3/2026 06:18:00,No,"Instant Messaging, Email, Virtual Meeting, Texts","Graduate School Decisions, Transition to Industry, Resume Review, How to Network, Interview Preparation",Maybe,Yes,Climate and sustainability,"Toronto, Ontario, Canada",I want to help students avoid the mistakes I made in my first few roles.,To be direct and concise,A blend of both,Letting the conversation flow organically,none,"Bioinformatics, genomics","SQL, dbt, Snowflake","Analytical, I like working through problems on a whiteboard","Rock climbing, bouldering, yoga",,,Mateo Volkov,mateo.volkov1@gmail.com,2024,B.S. Mathematics-Computer Science,Research Scientist at Genentech,2. Two
