Timestamp,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),Please select your preferred methods of communication for mentorship with a student in San Diego.,Which career development topics would you most like to discuss with a mentee?,Are you interested in providing a job shadowing experience for your mentee?,Are you interested in working together on a project with your mentee?,"In a word or two, please describe your industry","City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)","In a few sentences, please describe why you want to mentor a student.","When you give feedback, do you prefer:",Which of the following best describes you?,Which mentoring style do you prefer?,"Are there any topics, industries, or student backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentee?,First & Last Name,Email Address,Graduation Year,Data Science Program,"Job Title & Employer (If attending graduate school, please put school and program here.)",How many mentees would you like to be matched with?
7/1/2026 09:00:00,Yes,"Texts, Virtual Meeting, In Person, Email","Interview Preparation, Resume Review, Graduate School Decisions",Maybe,Yes,Management consulting,"San Diego, CA 92093-1234",I was a first generation student myself and had nobody to ask.,"Blunt is fine, do not cushion it",Energized by collaboration,Letting the conversation flow organically,N/A,"Optimization, operations research","R, tidyverse, Shiny","Candid and fast-moving, I do not sugarcoat feedback","Chess, competitive gaming, streaming",,I would like to stay in San Diego after graduating if I can,,dmitri.bhatt0@gmail.com,2024,BS Data Science Major,Biostatistician at UCSD Health,One
7/1/2026 10:30:00,No,"Phone Conversations, Texts, In Person","How to Network, Interview Preparation, Graduate School Decisions, Transition to Industry, Leadership Skills",Maybe,Yes,Healthcare,"Miami, FL","I would like to give back to HDSI, which gave me a lot.","Blunt is fine, do not cushion it",Energized by collaboration,A blend of both,Not really,"Geospatial analysis, remote sensing","R, tidyverse, Shiny","Concise in writing, more expansive in person","Cycling, road trips, birdwatching","I get migraines, so I avoid long video calls",,Jonas OBrien,,2020,MS in Data Science,Machine Learning Engineer at Scale AI,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/1/2026 12:17:00,Maybe,"Texts, In Person, Phone Conversations, Email, Virtual Meeting, Instant Messaging, Coffee somewhere on campus","How to Network, Leadership Skills, Graduate School Decisions, Interview Preparation, Transition to Industry, Resume Review",Yes,No,Aerospace,"Washington, DC",I want to demystify what a data scientist actually does all day.,Talk it through with me out loud,Prefer focused solo work,Letting the conversation flow organically,,"Information retrieval, search ranking","Snowflake, Sigma, Hex","Informal and flexible, I follow where the conversation goes","Painting, ceramics, visiting museums",,,,,2024,BS Data Science Minor,Machine Learning Engineer at Scale AI,
7/1/2026 14:22:00,Yes,"Instant Messaging, Virtual Meeting, In Person, Texts, Phone Conversations","Leadership Skills, Graduate School Decisions, Interview Preparation, Transition to Industry",No,Maybe,Pharmaceuticals,"Toronto, Ontario, Canada",My team hires a lot of new graduates and I want to understand them better.,Walk me through your reasoning with a real case,Energized by collaboration,Letting the conversation flow organically,Prefer someone outside of insurance.,"Causal inference, experimentation","Airflow, Kubernetes, Terraform",I mirror whoever I am talking to,"Surfing, swimming, beach volleyball",French and English both work,I am the first in my family to finish college,Tariq Fitzgerald,tariq.fitzgerald3@gmail.com (personal),2021,MDS (Online),Machine Learning Engineer at Scale AI,One
7/1/2026 19:33:00,No,"Virtual Meeting, Email, Texts","Leadership Skills, How to Network, Graduate School Decisions, Resume Review, Transition to Industry, Interview Preparation",Yes,No,Semiconductors,"New Orleans, LA",I have been laid off twice and it would have helped to hear that early.,To be more conversational with examples,Prefer focused solo work,Setting structured goals,None that I can think of,"Bioinformatics, genomics","Ray, Weights and Biases, Optuna","Playful, I use a lot of analogies","Learning languages, writing, journaling",,,Devon Zhang,  DEVON.ZHANG4@GMAIL.COM  ,2026,BS Data Science Major,Applied Scientist at Amazon,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/1/2026 22:00:00,Maybe,"Email, Instant Messaging, Phone Conversations, A Notion page we both edit",Transition to Industry,Yes,Yes,Healthcare,"Remote, 4 hours ahead of Pacific",My team hires a lot of new graduates and I want to understand them better.,Read the room and adapt,A blend of both,A blend of both,"No reinforcement learning, robotics, or anything requiring hardware.","Geospatial analysis, remote sensing","R, tidyverse, Shiny",I mirror whoever I am talking to,"Restoring old cars, motorcycles, welding",Portuguese is my first language but English is fine,,Gustavo Iyer,gustavo.iyer5@gmail.com,2021,MAS,Software Engineer at Google,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 03:34:00,Maybe,"Zoom, but only if it is scheduled ahead","Transition to Industry, Interview Preparation, Graduate School Decisions, Leadership Skills",Maybe,Maybe,Telecommunications,Currently travelling,I want to be the kind of manager I wish I had at twenty two.,"Both, depending on the situation",Prefer focused solo work,A blend of both,No,"Knowledge graphs, entity resolution","PySpark, Hive, Presto","Playful, I use a lot of analogies","Surfing, swimming, beach volleyball",,,Emeka Zhang,emeka.zhang6@gmail.com,2020,MDS (Online),Research Engineer at Salk Institute,One
7/2/2026 07:29:00,No,"Email, Instant Messaging, Virtual Meeting, Texts, In Person, Whatever is easiest for them",Resume Review,No,No,Defense,,Mentoring keeps me connected to the program and to new ideas.,To be more conversational with examples,Prefer focused solo work,A blend of both,,"Computer vision, deep learning","Postgres, Redis, FastAPI","Informal and flexible, I follow where the conversation goes","Podcasting, improv comedy, community theater",,,Gustavo Zhang,gustavo.zhang7@gmail.com,2025,MS in Data Science,Applied Scientist at Amazon,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 08:36:00,Yes,In Person,"Interview Preparation, Transition to Industry, Leadership Skills, Graduate School Decisions, Resume Review",Yes,Yes,Software,"Seoul, South Korea",,"Both, depending on the situation",Prefer focused solo work,A blend of both,,"Graph analytics, network science","QGIS, GeoPandas, Rasterio","Candid and fast-moving, I do not sugarcoat feedback","Playing guitar, going to concerts, collecting vinyl",,,Zara Tanaka,zara.tanaka8@gmail.com,2024,BS Data Science Minor,Senior Analyst at Deloitte,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 09:08:00,Maybe,"Virtual Meeting, Instant Messaging, Walking meetings, weather permitting","Interview Preparation, How to Network, Leadership Skills",Yes,Maybe,Autonomous vehicles,Somewhere near Austin these days,I remember how confusing the transition from coursework to industry was.,"In writing, so I can sit with it",Prefer focused solo work,A blend of both,"Nothing comes to mind really, I am open to most things.","Reinforcement learning, robotics","Git, GitHub Actions, MLflow","Blunt, though I try to be kind about it","Cycling, road trips, birdwatching",,,Ursula Nguyen,ursula.nguyen9@gmail.com,2021,BS Data Science Minor,Data Scientist at Qualcomm,as many as you need
