Timestamp,Are you able to commit to monthly 30 minute meetings with a mentor? (virtual or in-person),Please select your preferred methods of communication with a mentor.,Which career development topics would you most like to discuss with a mentor?,Are you interested in a job shadowing experience with your mentor?,Are you interested in working on a project with your mentor?,Please indicate any industries or domains you're interested in learning more about.,"City, State, and Country where you reside when not in school.","In a few sentences, please describe why you'd like to be matched with a mentor.","When you receive feedback, do you prefer:",Which of the following best describes you?,Which mentoring style would you prefer?,"Are there any topics, industries, or mentor backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most interested in? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly or would like to learn more about (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of school or work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentor?,First & Last Name,UCSD Email Address,Planned Graduation Year
7/1/2026 09:00:00,Yes,"Phone Conversations, Virtual Meeting, In Person","Resume Review, Transition to Industry, Leadership Skills, How to Network, Graduate School Decisions",Yes,No,Management consulting,"San Diego, CA 92093-1234",I want to understand what data science work is actually like day to day.,For it to be more conversationsal with examples,Prefer focused solo work,A blend of both,Not really,"Statistical modeling, Bayesian methods","Stan, PyMC, JAGS",I ask a lot of questions before offering an opinion,"Knitting, quilting, embroidery",,,,bruno.zhang0@ucsd.edu,2029
7/1/2026 13:10:00,No,Instant Messaging,"Interview Preparation, Leadership Skills, Transition to Industry, Resume Review, How to Network, Graduate School Decisions",Maybe,No,Media and entertainment,"San Francisco, California",I am strong technically but freeze in behavioral interviews.,"Blunt is fine, do not cushion it",Prefer focused solo work,Letting the conversation flow organically,,"Optimization, operations research","Tableau, Power BI, Looker",I check in often rather than waiting for a scheduled meeting,"Knitting, quilting, embroidery",I am most comfortable in Spanish and English,,Jonas Delacroix,,2028
7/1/2026 14:18:00,Yes,"Texts, Phone Conversations, Honestly no preference","Resume Review, How to Network, Interview Preparation",Maybe,Maybe,Digital health,"Washington, DC",,For it to be direct and concise,Prefer focused solo work,Letting the conversation flow organically,,"Simulation, agent based modeling","Vertex AI, BigQuery ML, Dataflow","Candid and fast-moving, I do not sugarcoat feedback","Sailing, kayaking, freediving",,,,,2029
7/1/2026 17:35:00,Maybe,"Instant Messaging, Virtual Meeting","How to Network, Resume Review",Maybe,Maybe,Management consulting,Currently travelling,I would like to understand what people actually do with a masters degree.,Walk me through your reasoning with a real case,Energized by collaboration,A blend of both,nope,"Computer vision, deep learning","Python, PyTorch, Docker","Formal in writing, relaxed in conversation","Skiing, snowboarding, ice hockey",Please send materials in advance so I can read them,,Amara Kowalski,amara.kowalski3@ucsd.edu (personal),2027
7/1/2026 18:00:00,Yes,"Email, Texts, Phone Conversations, In Person, Instant Messaging, Virtual Meeting","Graduate School Decisions, Leadership Skills, Resume Review, Transition to Industry, How to Network",Maybe,Maybe,Education technology,"New Orleans, LA",I would like to understand what people actually do with a masters degree.,Talk it through with me out loud,Energized by collaboration,A blend of both,"Please avoid finance, consulting, and insurance if you can.","Data visualization, storytelling","Ray, Weights and Biases, Optuna","Warm and conversational, I like to build rapport first","Running marathons, weightlifting, meal prep",I am most comfortable in Spanish and English,,Lucia Ferreira,  LUCIA.FERREIRA4@UCSD.EDU  ,2027
7/1/2026 23:17:00,Yes,"In Person, Instant Messaging",Graduate School Decisions,No,No,Agriculture technology,"Remote, 4 hours ahead of Pacific",,Read the room and adapt,Energized by collaboration,Letting the conversation flow organically,.,"Pricing, revenue management","Vertex AI, BigQuery ML, Dataflow",I check in often rather than waiting for a scheduled meeting,"Surfing, swimming, beach volleyball",Portuguese is my first language but English is fine,,Clara Barros,clara.barros5@ucsd.edu,2029
7/2/2026 03:59:00,Maybe,"Zoom, but only if it is scheduled ahead","Resume Review, Graduate School Decisions, Leadership Skills",Yes,Yes,Agriculture technology,Currently travelling,,For it to be direct and concise,Prefer focused solo work,Setting structured goals,None,"Simulation, agent based modeling","Tableau, Power BI, Looker",I mirror whoever I am talking to,"Volunteering, community organizing, tutoring","I am dyslexic, so slides beat dense documents",,Omar Sharma,omar.sharma6@ucsd.edu,2030
7/2/2026 05:54:00,Yes,"Instant Messaging, In Person, Texts, Phone Conversations, Virtual Meeting, Email",Resume Review,Yes,No,Education technology,,"Nobody in my family works in tech, so I have no one to ask basic questions.",For it to be direct and concise,Prefer focused solo work,Setting structured goals,Prefer someone outside of insurance.,"Statistical modeling, Bayesian methods","Excel, Google Sheets, BigQuery","Direct and to the point, I say what I mean","Podcasting, improv comedy, community theater",,,Giulia Osei,giulia.osei7@ucsd.edu,2029
7/2/2026 08:34:00,Yes,"In Person, Email","Interview Preparation, How to Network, Graduate School Decisions, Leadership Skills, Resume Review, Publishing without a research lab behind you",No,Maybe,Energy and utilities,Prefer not to say,,"Both, depending on the situation",Prefer focused solo work,Setting structured goals,,"Survival analysis, clinical trials","Polars, DuckDB, Parquet","Analytical, I like working through problems on a whiteboard","Soccer, basketball, watching football",,,Ibrahim Silva,ibrahim.silva8@ucsd.edu,2030
7/2/2026 09:03:00,No,"Email, Phone Conversations, In Person, Virtual Meeting",Leadership Skills,No,No,Retail,"Atlanta, GA, USA",,"Both, depending on the situation",Prefer focused solo work,Letting the conversation flow organically,"Nothing comes to mind really, I am open to most things.","Time series forecasting, demand planning","R, tidyverse, Shiny","Playful, I use a lot of analogies","Astrophotography, telescope building, stargazing",,,Giulia Osei,giulia.osei9@ucsd.edu,2027
7/2/2026 14:22:00,No,"Texts, In Person, Virtual Meeting, Instant Messaging, Email","Resume Review, Transition to Industry, How to Network, Interview Preparation, Graduate School Decisions, Finding a first internship",Maybe,Maybe,Video games,"Los Angeles, CA, USA",I would like help deciding which specialization to focus on.,"Short and specific, no preamble",Energized by collaboration,A blend of both,"I would rather not be matched with anyone in finance, consulting, or insurance.","Privacy, federated learning","Git, GitHub Actions, MLflow","Warm and conversational, I like to build rapport first","Salsa dancing, live music, karaoke",Happy to speak Hindi or English,,Lucia Osei,lucia.osei10@ucsd.edu,2029
7/2/2026 15:38:00,No,In Person,"Interview Preparation, Leadership Skills, Transition to Industry, Graduate School Decisions, How to Network, Resume Review",Yes,Maybe,Retail,"New York, NY",I want to hear from someone who moved from academia into industry.,It depends on my mood that day,Energized by collaboration,Letting the conversation flow organically,Please avoid matching me with someone in investment banking.,"Bioinformatics, genomics","Git, GitHub Actions, MLflow","Informal and flexible, I follow where the conversation goes","Cooking, baking sourdough, trying new restaurants",,,Quinn Alkhatib,quinn.alkhatib11@ucsd.edu,2028
7/2/2026 20:48:00,Maybe,"Instant Messaging, Email, Coffee somewhere on campus","Resume Review, Interview Preparation, Graduate School Decisions, Transition to Industry, Leadership Skills, How to Network",No,Maybe,Biotechnology,"New Orleans, LA",,For it to be direct and concise,Energized by collaboration,A blend of both,Not interested in the video games industry.,"Causal inference, experimentation","Excel, Google Sheets, BigQuery","Concise in writing, more expansive in person","Fishing, hunting, cast iron cooking",,,Tomas Salazar,tomas.salazar12@ucsd.edu,2027
7/3/2026 02:22:00,No,"Instant Messaging, Email, Texts, In Person",Resume Review,Maybe,Yes,Ed‑tech — mostly K‑12,Remote,I am unsure whether to pursue graduate school or go straight to industry.,For it to be direct and concise,A blend of both,A blend of both,Not interested in the video games industry.,"“Applied” ML, broadly","SQL, dbt, Snowflake","Blunt, though I try to be kind about it","Restoring old cars, motorcycles, welding",,,Quinn Bhatt,quinn.bhatt13@ucsd.edu,2027
7/3/2026 06:24:00,Maybe,"Instant Messaging, Phone Conversations, Texts","Leadership Skills, Graduate School Decisions",No,Maybe,Logistics and supply chain,"Honolulu, HI (2 hours behind Pacific)",,,A blend of both,Letting the conversation flow organically,nothing,"Geospatial analysis, remote sensing","Hugging Face transformers, LangChain","Analytical, I like working through problems on a whiteboard","Astrophotography, telescope building, stargazing","Korean speaker, but English is fine for professional topics",,Vikram Adeyemi,vikram.adeyemi14@ucsd.edu,2028
7/3/2026 07:10:00,Maybe,"Phone Conversations, Email","How to Network, Graduate School Decisions, Interview Preparation, Transition to Industry, Leadership Skills",Maybe,Yes,ML,Singapore,"Nobody in my family works in tech, so I have no one to ask basic questions.","Both, depending on the situation",Energized by collaboration,A blend of both,None,"Data visualization, storytelling","PySpark, Hive, Presto","Socratic, I would rather ask than tell","Astrophotography, telescope building, stargazing",,,Bilal Rahman,bilal.rahman15@ucsd.edu,2027
