Timestamp,Are you able to commit to monthly 30 minute meetings with a mentor? (virtual or in-person),Please select your preferred methods of communication with a mentor.,Which career development topics would you most like to discuss with a mentor?,Are you interested in a job shadowing experience with your mentor?,Are you interested in working on a project with your mentor?,Please indicate any industries or domains you're interested in learning more about.,"City, State, and Country where you reside when not in school.","In a few sentences, please describe why you'd like to be matched with a mentor.","When you receive feedback, do you prefer:",Which of the following best describes you?,Which mentoring style would you prefer?,"Are there any topics, industries, or mentor backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most interested in? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly or would like to learn more about (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of school or work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentor?,First & Last Name,UCSD Email Address,Planned Graduation Year
7/1/2026 09:00:00,No,"Email, Phone Conversations, Texts","Transition to Industry, Graduate School Decisions, How to Network, Interview Preparation, Negotiating a first offer",No,Maybe,Software,"Seattle, Washington, USA",,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,,"Natural language processing, large language models","Python, PyTorch, Docker",I ask a lot of questions before offering an opinion,"Playing guitar, going to concerts, collecting vinyl",,,Quinn Lindqvist,quinn.lindqvist0@ucsd.edu,2028
7/1/2026 12:12:00,No,"Texts, Instant Messaging, In Person, Virtual Meeting, Anything but email","How to Network, Interview Preparation, Graduate School Decisions, Leadership Skills",Yes,No,Retail,"Sydney, Australia",I want to hear from someone who moved from academia into industry.,For it to be more conversationsal with examples,A blend of both,A blend of both,Prefer someone outside of insurance.,"Reinforcement learning, robotics","Python, scikit-learn, pandas","Informal and flexible, I follow where the conversation goes","Soccer, basketball, watching football",,,Ravi Karimi,ravi.karimi1@ucsd.edu,2030
7/1/2026 15:52:00,Maybe,"Instant Messaging, In Person, Phone Conversations, Email","How to Network, Leadership Skills, Resume Review",Yes,Yes,Nonprofit,"Sao Paulo, Brazil",I want to understand what data science work is actually like day to day.,For it to be direct and concise,Energized by collaboration,Setting structured goals,,"Causal inference, experimentation","Spark, Databricks, Delta Lake","Analytical, I like working through problems on a whiteboard","Hiking, trail running, camping",I use captions on video calls,,Ravi Mensah,ravi.mensah2@ucsd.edu,2029
7/1/2026 19:55:00,No,"Phone Conversations, Email, Texts, Instant Messaging","Resume Review, Interview Preparation, Graduate School Decisions, Building a portfolio",Yes,Maybe,Management consulting,"Toronto, Ontario, Canada",,"Both, depending on the situation",Energized by collaboration,A blend of both,,"Time series forecasting, demand planning","TensorFlow, Keras, JAX","Structured, I usually come with an agenda","Playing guitar, going to concerts, collecting vinyl","No accessibility needs, thanks for asking","First generation student, guidance on navigating industry would help",,ravi.nguyen3@ucsd.edu,2029
7/2/2026 02:19:00,No,"Phone Conversations, Instant Messaging, Virtual Meeting, In Person, Whatever works best","Resume Review, Transition to Industry, How to Network",No,Yes,Investment banking,"Sao Paulo, Brazil",,For it to be direct and concise,Prefer focused solo work,Letting the conversation flow organically,I would rather not work with anyone going into finance or consulting.,"Statistical modeling, Bayesian methods","AWS SageMaker, Lambda, S3","Informal and flexible, I follow where the conversation goes","Soccer, basketball, watching football",,Interested in eventually starting my own company,Anika Yilmaz,anika.yilmaz4@ucsd.edu,2030
7/2/2026 07:03:00,Maybe,"Phone Conversations, Texts","Leadership Skills, Graduate School Decisions, How to Network, Transition to Industry, Resume Review",Yes,No,Education technology,Currently travelling,,"Both, depending on the situation",Prefer focused solo work,Letting the conversation flow organically,None,"Recommender systems, personalization","AWS SageMaker, Lambda, S3","Candid and fast-moving, I do not sugarcoat feedback","Photography, travel, film festivals","No accessibility needs, thanks for asking",,Hana Lindgren,hana.lindgren5@ucsd.edu,2030
7/2/2026 07:56:00,Maybe,"Instant Messaging, Phone Conversations, Texts, Virtual Meeting, In Person","How to Network, Resume Review, Interview Preparation",Maybe,Maybe,Management consulting,"Portland, Oregon, USA",,For it to be direct and concise,Energized by collaboration,A blend of both,N/A,"Bioinformatics, genomics","Spark, Databricks, Delta Lake","Concise in writing, more expansive in person","Rock climbing, bouldering, yoga",I use captions on video calls,I am a veteran returning to school after several years,Mateo Fitzgerald,mateo.fitzgerald6@ucsd.edu,2030
7/2/2026 08:31:00,No,"Texts, Phone Conversations, Virtual Meeting","Interview Preparation, Leadership Skills, Graduate School Decisions",Yes,No,Biotechnology,"Phoenix, Arizona, USA",,For it to be direct and concise,A blend of both,Setting structured goals,N/A,"Data visualization, storytelling","Julia, MATLAB, NumPy",I prefer written follow-ups after a call,"Rock climbing, bouldering, yoga",Prefer written communication over phone calls,,Ines Novak,,2029
7/2/2026 11:15:00,No,"Instant Messaging, Phone Conversations, Email","Interview Preparation, Leadership Skills",No,No,Government and public policy,"Toronto, Ontario, Canada",I would like help deciding which specialization to focus on.,For it to be more conversationsal with examples,A blend of both,Setting structured goals,No interest in advertising or media.,"Statistical modeling, Bayesian methods","TensorFlow, Keras, JAX","Concise in writing, more expansive in person","Running marathons, weightlifting, meal prep",,Would love a mentor who has worked abroad,Rafael Nguyen,rafael.nguyen8@ucsd.edu,2030
7/2/2026 15:59:00,Yes,"Email, Instant Messaging, Virtual Meeting","Interview Preparation, Leadership Skills, Resume Review",No,No,Software,Singapore,,For it to be more conversationsal with examples,A blend of both,Letting the conversation flow organically,none,"Optimization, operations research","Postgres, Redis, FastAPI","Candid and fast-moving, I do not sugarcoat feedback","Chess, competitive gaming, streaming","English is my second language, please be patient with me",,Anika Bauer,anika.bauer9@ucsd.edu,2030
